fold,phase,population,model,threshold,rows,positive,negative,accepted,rejected,tp,fp,fn,tn,precision,recall,f1
2023Q2,refit,0.001,constant,0.3,0,0,0,0,0,0,0,0,0,,,
2023Q2,refit,0.001,constant,0.4,0,0,0,0,0,0,0,0,0,,,
2023Q2,refit,0.001,constant,0.5,0,0,0,0,0,0,0,0,0,,,
2023Q2,refit,0.001,logistic,0.3,0,0,0,0,0,0,0,0,0,,,
2023Q2,refit,0.001,logistic,0.4,0,0,0,0,0,0,0,0,0,,,
2023Q2,refit,0.001,logistic,0.5,0,0,0,0,0,0,0,0,0,,,
2023Q3,inner,temporal,constant,0.3,3,0,3,0,3,0,0,0,3,,,
2023Q3,inner,temporal,constant,0.4,3,0,3,0,3,0,0,0,3,,,
2023Q3,inner,temporal,constant,0.5,3,0,3,0,3,0,0,0,3,,,
2023Q3,inner,temporal,logistic,0.3,3,0,3,0,3,0,0,0,3,,,
2023Q3,inner,temporal,logistic,0.4,3,0,3,0,3,0,0,0,3,,,
2023Q3,inner,temporal,logistic,0.5,3,0,3,0,3,0,0,0,3,,,
2023Q3,inner,0.0005,constant,0.3,0,0,0,0,0,0,0,0,0,,,
2023Q3,inner,0.0005,constant,0.4,0,0,0,0,0,0,0,0,0,,,
2023Q3,inner,0.0005,constant,0.5,0,0,0,0,0,0,0,0,0,,,
2023Q3,inner,0.0005,logistic,0.3,0,0,0,0,0,0,0,0,0,,,
2023Q3,inner,0.0005,logistic,0.4,0,0,0,0,0,0,0,0,0,,,
2023Q3,inner,0.0005,logistic,0.5,0,0,0,0,0,0,0,0,0,,,
2023Q3,inner,0.001,constant,0.3,0,0,0,0,0,0,0,0,0,,,
2023Q3,inner,0.001,constant,0.4,0,0,0,0,0,0,0,0,0,,,
2023Q3,inner,0.001,constant,0.5,0,0,0,0,0,0,0,0,0,,,
2023Q3,inner,0.001,logistic,0.3,0,0,0,0,0,0,0,0,0,,,
2023Q3,inner,0.001,logistic,0.4,0,0,0,0,0,0,0,0,0,,,
2023Q3,inner,0.001,logistic,0.5,0,0,0,0,0,0,0,0,0,,,
2023Q3,refit,temporal,constant,0.3,42201,11450,30751,0,42201,0,0,11450,30751,,0.0,0.0
2023Q3,refit,temporal,constant,0.4,42201,11450,30751,0,42201,0,0,11450,30751,,0.0,0.0
2023Q3,refit,temporal,constant,0.5,42201,11450,30751,0,42201,0,0,11450,30751,,0.0,0.0
2023Q3,refit,temporal,logistic,0.3,42201,11450,30751,8571,33630,2859,5712,8591,25039,0.3335666783339167,0.2496943231441048,0.28560011987413214
2023Q3,refit,temporal,logistic,0.4,42201,11450,30751,0,42201,0,0,11450,30751,,0.0,0.0
2023Q3,refit,temporal,logistic,0.5,42201,11450,30751,0,42201,0,0,11450,30751,,0.0,0.0
2023Q3,refit,0.0005,constant,0.3,2174,574,1600,0,2174,0,0,574,1600,,0.0,0.0
2023Q3,refit,0.0005,constant,0.4,2174,574,1600,0,2174,0,0,574,1600,,0.0,0.0
2023Q3,refit,0.0005,constant,0.5,2174,574,1600,0,2174,0,0,574,1600,,0.0,0.0
2023Q3,refit,0.0005,logistic,0.3,2174,574,1600,360,1814,122,238,452,1362,0.3388888888888889,0.21254355400696864,0.26124197002141325
2023Q3,refit,0.0005,logistic,0.4,2174,574,1600,0,2174,0,0,574,1600,,0.0,0.0
2023Q3,refit,0.0005,logistic,0.5,2174,574,1600,0,2174,0,0,574,1600,,0.0,0.0
2023Q3,refit,0.001,constant,0.3,714,192,522,0,714,0,0,192,522,,0.0,0.0
2023Q3,refit,0.001,constant,0.4,714,192,522,0,714,0,0,192,522,,0.0,0.0
2023Q3,refit,0.001,constant,0.5,714,192,522,0,714,0,0,192,522,,0.0,0.0
2023Q3,refit,0.001,logistic,0.3,714,192,522,52,662,16,36,176,486,0.3076923076923077,0.08333333333333333,0.13114754098360656
2023Q3,refit,0.001,logistic,0.4,714,192,522,0,714,0,0,192,522,,0.0,0.0
2023Q3,refit,0.001,logistic,0.5,714,192,522,0,714,0,0,192,522,,0.0,0.0
2023Q4,inner,temporal,constant,0.3,42201,11450,30751,0,42201,0,0,11450,30751,,0.0,0.0
2023Q4,inner,temporal,constant,0.4,42201,11450,30751,0,42201,0,0,11450,30751,,0.0,0.0
2023Q4,inner,temporal,constant,0.5,42201,11450,30751,0,42201,0,0,11450,30751,,0.0,0.0
2023Q4,inner,temporal,logistic,0.3,42201,11450,30751,8571,33630,2859,5712,8591,25039,0.3335666783339167,0.2496943231441048,0.28560011987413214
2023Q4,inner,temporal,logistic,0.4,42201,11450,30751,0,42201,0,0,11450,30751,,0.0,0.0
2023Q4,inner,temporal,logistic,0.5,42201,11450,30751,0,42201,0,0,11450,30751,,0.0,0.0
2023Q4,inner,0.0005,constant,0.3,2174,574,1600,0,2174,0,0,574,1600,,0.0,0.0
2023Q4,inner,0.0005,constant,0.4,2174,574,1600,0,2174,0,0,574,1600,,0.0,0.0
2023Q4,inner,0.0005,constant,0.5,2174,574,1600,0,2174,0,0,574,1600,,0.0,0.0
2023Q4,inner,0.0005,logistic,0.3,2174,574,1600,360,1814,122,238,452,1362,0.3388888888888889,0.21254355400696864,0.26124197002141325
2023Q4,inner,0.0005,logistic,0.4,2174,574,1600,0,2174,0,0,574,1600,,0.0,0.0
2023Q4,inner,0.0005,logistic,0.5,2174,574,1600,0,2174,0,0,574,1600,,0.0,0.0
2023Q4,inner,0.001,constant,0.3,714,192,522,0,714,0,0,192,522,,0.0,0.0
2023Q4,inner,0.001,constant,0.4,714,192,522,0,714,0,0,192,522,,0.0,0.0
2023Q4,inner,0.001,constant,0.5,714,192,522,0,714,0,0,192,522,,0.0,0.0
2023Q4,inner,0.001,logistic,0.3,714,192,522,52,662,16,36,176,486,0.3076923076923077,0.08333333333333333,0.13114754098360656
2023Q4,inner,0.001,logistic,0.4,714,192,522,0,714,0,0,192,522,,0.0,0.0
2023Q4,inner,0.001,logistic,0.5,714,192,522,0,714,0,0,192,522,,0.0,0.0
2023Q4,refit,temporal,constant,0.3,76144,20386,55758,0,76144,0,0,20386,55758,,0.0,0.0
2023Q4,refit,temporal,constant,0.4,76144,20386,55758,0,76144,0,0,20386,55758,,0.0,0.0
2023Q4,refit,temporal,constant,0.5,76144,20386,55758,0,76144,0,0,20386,55758,,0.0,0.0
2023Q4,refit,temporal,logistic,0.3,76144,20386,55758,11487,64657,3272,8215,17114,47543,0.2848437363976669,0.16050230550377712,0.2053148432842845
2023Q4,refit,temporal,logistic,0.4,76144,20386,55758,3,76141,0,3,20386,55755,0.0,0.0,0.0
2023Q4,refit,temporal,logistic,0.5,76144,20386,55758,0,76144,0,0,20386,55758,,0.0,0.0
2023Q4,refit,0.0005,constant,0.3,4078,1128,2950,0,4078,0,0,1128,2950,,0.0,0.0
2023Q4,refit,0.0005,constant,0.4,4078,1128,2950,0,4078,0,0,1128,2950,,0.0,0.0
2023Q4,refit,0.0005,constant,0.5,4078,1128,2950,0,4078,0,0,1128,2950,,0.0,0.0
2023Q4,refit,0.0005,logistic,0.3,4078,1128,2950,337,3741,95,242,1033,2708,0.2818991097922849,0.08421985815602837,0.1296928327645051
2023Q4,refit,0.0005,logistic,0.4,4078,1128,2950,0,4078,0,0,1128,2950,,0.0,0.0
2023Q4,refit,0.0005,logistic,0.5,4078,1128,2950,0,4078,0,0,1128,2950,,0.0,0.0
2023Q4,refit,0.001,constant,0.3,1335,372,963,0,1335,0,0,372,963,,0.0,0.0
2023Q4,refit,0.001,constant,0.4,1335,372,963,0,1335,0,0,372,963,,0.0,0.0
2023Q4,refit,0.001,constant,0.5,1335,372,963,0,1335,0,0,372,963,,0.0,0.0
2023Q4,refit,0.001,logistic,0.3,1335,372,963,87,1248,29,58,343,905,0.3333333333333333,0.07795698924731183,0.12636165577342048
2023Q4,refit,0.001,logistic,0.4,1335,372,963,0,1335,0,0,372,963,,0.0,0.0
2023Q4,refit,0.001,logistic,0.5,1335,372,963,0,1335,0,0,372,963,,0.0,0.0
