stage,policy,cost,arm,period,arm_model_available,blocked.awaiting_strict_quality_return,blocked.causal_unavailable,blocked.filter_rejected,blocked.no_primary_signal,blocked.occupied_or_unresolved,capital_breach,cash,commission,conclusive_equity,conclusive_pnl,conclusive_unrealized,conditional_funding,conditional_scenario_not_lower_bound,counts.entries,counts.entry_cancelled_quality,counts.entry_expired,counts.exits,counts.integrity_events,counts.opportunities,counts.opportunity_causal_unavailable,counts.opportunity_model_unavailable,counts.p1_adverse_liquidation,counts.pending_entries,counts.stop,counts.take_profit,counts.unresolved_at_end,counts.unresolved_events,drawdown_fraction_initial,entries,exits,funding_if_still_open,funding_recorded,known_cash,last_known_equity,mark_count,mark_missing,max_dollar_drawdown,model_available,net_return,open_exposure_ms,opportunities,peak_notional,potential_exposure_unknown,profit_claim,realized_pnl,realized_recorded,recorded_cashflow,scenario_equity,scenario_pnl,scenario_unrealized,slippage_attribution_only,state,turnover_eur,turnover_usd,wall_exposure_ms
confirmation,P1,S2,primary,TOTAL,True,486,49007,,12442,304201,False,19534890262236218374937/2920000000000000000,35126/25,,,,,True,10036,260,848,10036,9938,377280,65581,0,2965,11144,6140,931,0,2965,,,,0,6600511/73000,999993/100,200011/20,17518402,0,,,,18463438746,,55991/50,False,False,-72580445174846323631/40000000000000000,,,19534890262236218374937/2920000000000000000,-9665109737763781625063/2920000000000000000,0,19141/20,ENDED,20072000,173764938962051718198893/8000000000000000,27103438746
confirmation,P1,S2,primary,2024Q1,,70,3601,,2666,84178,False,,10157/25,,,,0,,,,,,,,,,,,,,,,,2902,2902,,3965931/182500,,,,,,True,,5110617159,93660,,,,,-4347638810984729839/8000000000000000,-567336132401885278247/584000000000000000,,-567336132401885278247/584000000000000000,,5547/20,,5804000,251883318035397802254059/40000000000000000,7180617159
confirmation,P1,S2,primary,2024Q2,,114,16779,,3621,70064,False,,3759/10,,,,0,,,,,,,,,,,,,,,,,2685,2685,,8399317/365000,,,,,,True,,4259582851,93600,,,,,-16455899130412823473/40000000000000000,-2366103172520136113529/2920000000000000000,,-2366103172520136113529/2920000000000000000,,5147/20,,5370000,231412112710535907800577/40000000000000000,6505982851
confirmation,P1,S2,primary,2024Q3,,109,18082,,3512,70699,False,,32599/100,,,,0,,,,,,,,,,,,,,,,,2329,2328,,8567653/365000,,,,,,True,,4291061804,95040,,,,,-15394885211790565099/40000000000000000,-2144258644460711252227/2920000000000000000,,-2144579844460711252227/2920000000000000000,,4453/20,,4657000,204139144268130139314527/40000000000000000,6537461804
confirmation,P1,S2,primary,2024Q4,,193,10545,,2643,79260,False,,29687/100,,,,0,,,,,,,,,,,,,,,,,2120,2121,,8103723/365000,,,,,,True,,4802176932,94980,,,,,-2373933347214910733/5000000000000000,-289758407346688483509/365000000000000000,,-289718257346688483509/365000000000000000,,1997/10,,4241000,90695059898097370812651/20000000000000000,6879376932
confirmation,P1,S2,filtered,TOTAL,True,1959,49068,309726,16513,13,False,99969/10,7/50,99969/10,-31/10,0,,True,1,,,1,9938,377280,65581,0,,1,1,,0,,177/250000,,,0,0,99969/10,99969/10,5652,0,177/25,,-31/100000,838636,,25933/25,False,False,-74/25,,,99969/10,-31/10,0,1/10,ENDED,2000,10388/5,838636
confirmation,P1,S2,filtered,2024Q1,,344,3601,86141,3574,,False,,0,,0,,0,,,,,,,,,,,,,,,,,0,0,,0,,,,,0,True,,0,93660,,,,,0,0,,0,,0,,0,0,0
confirmation,P1,S2,filtered,2024Q2,,644,16779,71320,4857,,False,,0,,0,,0,,,,,,,,,,,,,,,,,0,0,,0,,,,,0,True,,0,93600,,,,,0,0,,0,,0,,0,0,0
confirmation,P1,S2,filtered,2024Q3,,541,18082,71728,4689,,False,,0,,0,,0,,,,,,,,,,,,,,,,,0,0,,0,,,,,0,True,,0,95040,,,,,0,0,,0,,0,,0,0,0
confirmation,P1,S2,filtered,2024Q4,,430,10606,80537,3393,13,False,,7/50,,-31/10,,0,,,,,,,,,,,,,,,,,1,1,,0,,,,,177/25,True,,838636,94980,,,,,-74/25,-31/10,,-31/10,,1/10,,2000,10388/5,838636
